brand,model,year,engine_size,fuel_type,transmission,mileage,car_type,drive_type,price
Suzuki,WagonR,2022,1.2,Hybrid,Manual,5950,Hatchback,AWD,6280794
Toyota,Corolla,2015,2.6,Electric,CVT,154572,Truck,AWD,1363381
Suzuki,Swift,2008,2.8,Petrol,Manual,46908,Sedan,AWD,7678389
Suzuki,Cultus,2018,2.1,Diesel,CVT,165760,Hatchback,FWD,6098764
Kia,Sportage,2023,2.5,Electric,Automatic,143133,Sedan,FWD,6689630
Hyundai,Tucson,2014,2.1,Hybrid,Automatic,88969,Hatchback,AWD,4280217
Honda,City,2010,3.1,Petrol,Manual,170178,Sedan,RWD,7310777
Toyota,Corolla,2007,3.9,Petrol,Automatic,32754,SUV,AWD,4096198
Hyundai,Elantra,2022,3.5,Petrol,Manual,63717,Truck,RWD,1640599
Toyota,Corolla,2011,3.9,Electric,Automatic,47378,Hatchback,FWD,4083514
Honda,City,2008,3.6,Petrol,Automatic,107727,SUV,AWD,1057927
Honda,City,2012,3.8,Hybrid,Automatic,194551,SUV,FWD,4910163
Kia,Picanto,2022,3.3,Electric,CVT,55666,Truck,FWD,3861687
Hyundai,Tucson,2017,0.9,Electric,CVT,97714,Sedan,RWD,7401326
Toyota,Fortuner,2012,1.1,Diesel,CVT,145859,Hatchback,FWD,3205292
Hyundai,Tucson,2010,3.3,Diesel,Manual,61458,Sedan,FWD,1069586
Kia,Picanto,2005,1.6,Petrol,Manual,90306,Hatchback,FWD,3055316
Suzuki,Cultus,2018,3.0,Diesel,Automatic,59837,Sedan,AWD,4715938
Hyundai,Elantra,2008,2.8,Petrol,Manual,138430,Truck,RWD,6543781
Honda,Civic,2017,3.8,Diesel,Automatic,124321,Sedan,FWD,826064
Toyota,Corolla,2019,3.2,Electric,Automatic,77912,SUV,FWD,7519535
Toyota,Yaris,2016,1.3,Hybrid,Manual,176796,SUV,RWD,6690987
Kia,Sportage,2020,3.3,Diesel,Automatic,180774,Hatchback,FWD,3388198
Suzuki,WagonR,2010,2.4,Electric,Manual,22123,Hatchback,RWD,6006143
Suzuki,Swift,2021,2.8,Diesel,Automatic,6414,Sedan,FWD,4407626
Toyota,Camry,2018,2.1,Diesel,CVT,155583,Truck,RWD,4539375
Suzuki,WagonR,2009,1.5,Electric,CVT,74009,Truck,RWD,885925
Hyundai,Sonata,2006,2.4,Petrol,Automatic,98751,Truck,FWD,5750298
Kia,Picanto,2022,3.1,Petrol,CVT,46023,Sedan,FWD,7111657
Suzuki,WagonR,2023,1.0,Diesel,Manual,27782,Hatchback,RWD,1802132
Suzuki,Alto,2008,1.9,Diesel,Manual,81547,Truck,RWD,3293098
